Exchange,Stock Symbol,Security ID,Min qty
NSE,715AP32 SG,20773,100
NSE,715AP36 SG,20919,100
NSE,715AP37 SG,5004,100
NSE,715GA32 SG,8326,100
NSE,715HP50 SG,757741,100
NSE,715HR28 SG,9333,100
NSE,715HR38 SG,29060,100
NSE,715HR40 SG,757752,100
NSE,715IRFC34 N0,28895,1
NSE,715IRFC39 N0,27121,1
NSE,715JK32 SG,457,100
NSE,715KA36 SG,25959,100
NSE,715KA38 SG,29239,100
NSE,715KA42 SG,29002,100
NSE,715KA43 SG,29003,100
NSE,715KL39 SG,25960,100
NSE,715KL40 SG,27005,100
NSE,715MH45 SG,757737,100
NSE,715MH46 SG,757738,100
NSE,715AP39 SG,25962,100
NSE,715AP42 SG,27007,100
NSE,715AP47 SG,27009,100
NSE,715AS35 SG,29058,100
NSE,715AS35B SG,29692,100
NSE,715BR34 SG,25958,100
NSE,715BR34A SG,28814,100
NSE,715BR35 SG,29059,100
NSE,715BR37 SG,29235,100
NSE,715BR37B SG,29704,100
NSE,715BR40 SG,29063,100
NSE,715GA30 SG,20546,100
NSE,715MH47 SG,757739,100
NSE,715MH49 SG,757929,100
NSE,715MN39 SG,25961,100
NSE,672AP28 SG,20914,100
NSE,672GA30 SG,20913,100
NSE,672GJ30 SG,3750,100
NSE,672HR35 SG,867,100
NSE,715MN39A SG,28821,100
NSE,715MP35 SG,25772,100
NSE,715MP43 SG,25776,100
NSE,715MP43A SG,757653,100
NSE,715MZ39 SG,25774,100
NSE,715MZ40 SG,27006,100
NSE,715NBFID35 N0,756169,1
NSE,715NL34 SG,28822,100
NSE,684JK42 SG,757037,100
NSE,684KL30 SG,21913,100
NSE,684KL33 SG,3656,100
NSE,1015SCL29 ZL,23952,1
NSE,1015SCL29B N1,25558,1
NSE,1015SCL29T N1,28925,1
NSE,1015SCL30 N1,30236,1
NSE,1015UCL26 N1,25912,1
NSE,867NHPC33 N3,31484,1
NSE,867PFCL33 N7,20026,1
NSE,868NHB29 N3,1758,1
NSE,86CIFC29 NN,22556,1
NSE,86GS2028 GS,7088,1
NSE,871REC28 N9,30990,1
NSE,872MMFSL26 N1,20046,1
NSE,873NTPC28 N5,31766,1
NSE,875BTL28 N0,27029,1
